regular_wages,overtime_wages,other_wages
179138.13,0,4711.77
83622.6,25134.56,75028.68
126704.64,39733.22,17258.47
183676.26,0,0
183607.4,0,0
183607.36,0,0
183607.36,0,0
183607.36,0,0
183607.36,0,0
174710.38,8863.03,0
183560.02,0,0
183560.01,0,0
178227.84,0,5320
17471.88,0,166035.08
131971,0,51460.57
149125.44,0,34294.58
182321.89,1064.48,0
178704.64,0,4419.5
178401.6,0,4692.45
171869.02,11152.02,0
178704.64,0,4270.5
172639.71,0,10324.4
182833.42,0,0
182833.42,0,0
182833.42,0,0
178844.71,0,3946.36
154041.45,17938.33,10762.4
178227.84,0,4290
178227.84,0,4290
178227.84,0,4290
178227.84,0,4290
178227.84,0,4290
178227.84,0,4290
178227.84,0,4290
178227.84,0,4290
178227.84,0,4290
178227.84,0,4290
97075.2,16118.31,69322.73
155751.68,2804.02,23934.68
50432.64,0,132026.96
178138.24,0,4290
182381.78,0,0
182363.55,0,0
138160.67,6615.38,37475.68
178227.84,0,4000
177911.04,0,4275
142714.4,15268.23,24134.9
178227.84,0,3861
141792.36,10951.85,29317.09
175477.95,0,6555.06
100211.61,0,81767.38
181936,0,0
144327.04,0,37539.38
129681.48,0,52132
73913.64,101878.6,6009.56
177521.28,0,4273
139009.28,803.04,41979.68
177424.72,0,4270.5
177417.29,0,4270.5
177417.28,0,4270.5
177417.28,0,4270.5
177417.28,0,4270.5
177417.28,0,4270.5
176865.09,0,4766.91
138468.7,11171.42,31941.72
181565.76,0,0
139009.28,4015.2,38493.28
181431.65,0,0
181339.21,0,0
98187.36,0,83149.37
161436.22,5464.13,14400
181240.82,0,0
178227.84,0,3000
178227.84,0,3000
135579.69,35830.82,9758.31
153240.64,15532.49,12373.27
176853.12,0,4146
180925.44,0,0
176654.43,0,4246.5
176654.4,0,4246.5
176654.4,0,4246.5
176268.48,491.4,4122.5
170866.78,0,10000
180861.23,0,0
178227.84,0,2574
176512.64,0,4270.5
173627.52,0,7146
180679.38,0,0
177479.8,0,2979.72
140191.12,12747.88,27503.87
176232.07,0,4174.5
83277.03,21116.6,76011.76
153328.19,0,27034.56
180345.67,0,0
180294.4,0,0
180294.4,0,0
180294.4,0,0
177011.56,0,3232.9
