ticker,salary,bonus,stock_awards,option_awards,non_equity_comp,pension_change,other_comp
BRX,1100000,0,4401670,0,2433750,0,36114
DTM,776923,0,5414536,0,1455700,0,324091
XNCR,700200,0,1650735,5249673,357100,0,8247
HELE,1250000,0,6700000,0,0,0,15812
BGS,1132000,0,3002986,2412289,1383304,0,28060
ALIT,800000,0,6599992,0,516800,0,36545
NMIH,900000,0,4274972,0,2699550,0,0
RGEN,880000,0,5249983,1794292,0,0,5000
ESAB,1030000,0,3379345,1087510,2129588,0,279892
COGT,656098,393659,1873200,4962615,0,0,13200
NXGN,709009,0,6598170,0,548766,0,39876
FTDR,825000,0,2750005,2750002,1554300,0,11550
ENS,1040000,0,2612500,2612500,1572363,0,51555
JBGS,750000,1125000,5999983,0,0,0,9900
SUMO,450000,0,7115196,0,315000,0,782
DNLI,670000,462289,2272291,4461487,0,0,13200
MC,400000,30500,7438446,0,0,0,9900
ENTA,755375,0,3520440,3084399,475886,0,20598
HXL,1099161,0,3187522,1593774,1741071,0,216275
ERIE,1100577,0,4540445,0,1498560,525707,159031
GTX,1115094,0,4286321,0,2246546,130490,41935
CERT,795675,0,6485296,0,509232,0,19825
CAL,1067308,0,4000038,0,2020407,611206,105564
PINC,1070875,0,5267551,0,1249688,0,211689
EQC,950000,0,4762807,0,2074009,0,8000
CBT,1083750,0,3509911,1890051,1045704,26843,235251
EXPI,1506251,81040,2779500,3424288,0,0,137
QLYS,558333,0,6931496,0,283796,0,9607
BLD,970833,0,4722871,0,2069730,0,14190
NFG,1025000,0,3999543,0,1326094,1244524,175141
CNMD,950000,0,2657526,2657441,1396590,0,103058
GRBK,1500000,0,3100497,0,3146000,0,13380
IEX,992308,0,3243595,2374761,828000,0,320212
MAIN,691250,3600000,3218240,0,0,0,249190
BIG,1223077,0,5019800,0,1290240,0,222590
OII,800000,0,1917631,0,4579303,0,456103
WTRG,985584,0,0,298940,1437300,2483717,2544409
HAIN,563718,0,5612067,0,284813,0,1281310
STE,969862,0,2154084,4000598,602884,0,12756
CABO,850000,0,6190794,0,578613,4476,110597
SPCE,1000000,0,5243644,0,1457500,0,32872
WBS,1100000,0,5239451,0,1031250,7300,352258
FSLR,964971,0,5000089,0,1747237,0,13200
DK,880000,1120000,3623101,0,1948100,0,152096
AMPH,898000,310847,2858985,2859027,736000,0,59909
KEX,1034250,0,2370192,0,3861131,0,457136
THG,1100000,0,3450128,1150005,1933250,0,87746
AWK,1057880,0,4654564,0,1678611,0,329770
CMA,1073173,0,4600078,493124,1186800,308280,58219
ADS,1155000,0,4039912,0,2347191,0,155483
PEAK,750000,0,5204310,0,1725000,0,13200
OMER,917308,5024179,0,1724564,0,0,23792
COMP,500000,7100000,0,0,0,0,78320
BCC,1007692,0,3700003,0,2720769,13955,234321
PNM,1071821,375000,3998365,0,1802142,0,423505
ATI,973077,0,4774796,0,1632945,17259,272477
CAKE,995000,0,5600595,0,1020621,0,42703
SPXC,1026849,0,3175978,1051658,2277000,0,127129
UE,1100000,0,4189334,0,2333788,0,22500
CPS,1015385,0,4751899,0,1647360,0,219542
ARVN,657697,0,2130081,4352454,473600,0,13200
CHX,913154,0,5373069,0,1299140,0,36914
KDP,1500000,0,4335741,0,1755000,0,29354
WWD,1100000,0,874561,3159750,1872200,0,609025
EXP,1000000,0,3375000,1125000,2012014,0,102774
AEVA,572000,858000,6172060,0,0,0,11250
WNC,1037500,0,4657736,0,1783320,0,134646
SPT,480000,0,6608667,0,513600,0,0
MPLN,750000,0,6000000,0,837500,0,8250
ACAD,856593,0,1948017,3865652,886184,0,30568
OEC,1045000,0,6157673,0,365750,0,16816
IRWD,833668,0,5974255,0,750780,0,24567
WTM,584615,0,5872920,0,765000,0,354466
TVTX,795834,0,3042581,3133104,588000,0,15440
THRM,959500,0,4694643,0,1566951,0,351397
CTAS,1040000,0,4442984,0,1924000,0,163272
VEC,926919,0,5285471,0,1303115,0,40120
PRO,540000,0,6219177,0,783486,0,11787
EPAM,812500,0,3118869,3099953,500000,0,13808
WTS,1039775,0,4382012,0,2031645,0,83963
DLX,943750,0,5329797,0,1228763,0,34409
NS,876600,0,3432398,0,2854512,278143,91168
VERX,589654,0,6250003,0,644274,0,47660
METC,900000,800000,4595600,0,1200000,0,13200
SAH,1336366,0,4061894,0,1636346,0,473249
SEDG,816851,0,6558293,0,0,0,125306
ESGR,2500000,0,0,0,3821959,0,1170367
INSP,690000,33396,2999761,3133094,634524,0,0
BIO,1040000,0,6211537,0,0,0,212341
ANAB,640605,0,1658622,3287320,352333,0,1523040
PAGP,800000,0,3658279,0,2975000,0,20640
PAA,800000,0,3658279,0,2975000,0,20640
EXPD,100000,0,2895774,0,4454587,0,3000
PAG,1600000,0,5000000,0,0,0,828439
SPB,900000,0,5400013,0,637313,0,481460
ACHC,1000000,0,4749977,0,1653667,0,962
CHK,903654,0,5149927,0,1319500,0,31480
FELE,940385,0,3150016,1050001,781342,1366459,113407
AGTI,493664,250000,6250000,0,0,0,401256
VCKA,917494,0,0,6402460,0,0,54023
IDA,920000,0,2440043,0,1645052,2352115,15760
AXNX,800000,0,5621175,0,920000,0,28200
FNB,1187000,0,3225435,0,2279040,15954,649180
MMS,850000,0,5588751,0,892500,0,18689
LEG,1120000,0,4344981,0,1313200,59498,509515
HWM,1600000,0,0,0,5600000,0,144588
CC,1000000,0,3249640,0,2999990,0,85800
ALTR,860000,0,2477220,3185160,610000,0,186612
AMCR,1742877,0,3459902,1120168,316038,0,667010
B,1000000,0,4688207,1114981,432000,0,70150
EPRT,700000,0,4858000,0,1724000,0,20000
NVAX,662868,250000,2975113,2996245,267750,0,149033
IOSP,1381048,0,2870922,1183023,1750014,0,114856
SRCL,1068860,0,4911951,0,1307021,0,3000
DBRG,1200000,500000,2597650,0,1918188,0,1566713
CUTR,271023,0,2747683,4250008,0,0,11100
WOR,735038,0,2246806,415798,3714566,0,167578
MORN,525000,0,5199571,0,1535975,0,16875
GPI,1100000,0,3499802,0,1849705,216857,607936
NBBK,950000,2985316,0,0,3082033,0,250400
XHR,900000,0,4632678,0,1710979,0,20442
PFSI,1000000,0,3374957,1184278,1631250,0,67998
PLUG,750000,0,0,6485000,0,0,17805
SBH,1129231,0,4701885,0,1377935,0,21884
RYTM,704715,0,1545275,4334521,634053,0,11893
BCO,941667,0,4799958,0,1173060,0,309360
AVNS,1015417,0,5000686,0,1032070,0,166390
GL,850000,0,2008568,2015625,1535000,733218,63660
NNN,825000,0,4385780,0,1964531,0,19343
SATS,1000002,0,0,5312980,759000,0,118980
VCYT,650000,0,3703968,1927416,900250,0,3000
PI,415001,389209,6364870,0,0,0,14651
CARS,750000,0,5500024,0,889350,0,43848
DCI,1063846,0,2300228,2299764,1281073,53808,182888
FROG,500000,0,6638140,0,0,0,26890
SIRI,1750001,5250000,0,0,0,0,164546
ACRS,600000,0,1832760,4513721,198000,0,13200
CALX,560000,0,0,5299670,1288525,0,7600
PDM,700000,0,5377972,0,1050000,0,22748
PECO,907460,0,4174387,0,1606800,0,457581
WOOF,1121154,300000,5666668,0,0,0,51641
EVRG,1055510,0,4598132,0,1424280,0,60802
XPRO,1000000,0,5169391,0,937500,0,25200
SWX,874796,0,2991259,0,1575000,1657725,30561
UPST,460000,0,0,6448630,207000,0,0
GNTX,842693,0,4418429,0,1576495,0,273914
HNI,1025961,14958,3553470,0,2286600,0,221955
MDU,1085000,0,3359339,0,2434469,173094,48691
IIPR,1238600,2346851,3500038,0,0,0,9900
GNRC,1050000,0,3996222,2004001,0,0,34742
TSQ,1450000,1305000,4130785,0,0,0,183958
FAF,832500,0,4841829,0,1050000,332267,12761
MNKD,701546,0,5536550,0,808181,0,21837
PTGX,655200,0,0,6041100,360360,0,10912
KODK,996516,2000000,3306000,454147,0,307860,0
VRE,800000,0,4000000,0,2238000,0,26210
NVST,1100000,0,4160158,1040020,0,0,759147
VCEL,790000,0,2176860,3336223,738700,0,14639
PRTA,630547,0,0,6039017,359412,0,14850
MED,1000000,0,4604755,0,1322500,0,111807
SXC,1030399,0,2681498,0,3084168,0,240893
DOOR,971539,886500,3734910,414995,994062,0,33836
USAC,711330,0,3698902,0,924729,0,1699814
BMBL,650000,0,3265896,2677863,424836,0,13200
HLX,800000,0,4057310,0,2157600,0,8250
RWT,900000,0,4099997,0,1967782,0,54000
ROG,770000,0,5972600,0,163009,0,114269
TPST,567000,0,0,6084172,343035,0,13200
PRIM,890769,0,4630038,0,1338077,0,145744
HLI,500000,0,0,0,6500000,0,0
VSAT,1364000,0,0,3575736,2030400,0,26779
SUM,1029231,0,3495877,0,2421079,0,47628
FULC,369419,0,0,6398757,150000,0,72420
PEB,789750,65000,4016336,0,2047500,0,71238
VVI,927000,0,4611797,0,1371300,1478,75798
NDSN,975000,0,3110106,2012792,331012,443516,109219
WMS,930000,0,3149677,1051160,1715000,0,130936
CLSK,600000,2600000,3423000,0,0,0,352812
TMST,827708,0,5275245,0,827708,0,43195
APLE,635000,0,4323874,0,1610618,0,403976
POR,1144080,0,4181138,0,1195782,155103,289654
SNPO,735000,0,5567709,0,598106,0,64024
CGNX,676000,0,2065040,4133598,73833,0,11443
ASH,1114805,0,5454895,0,101565,0,286649
ATKR,1023077,0,3750064,1249975,884466,0,30674
RSI,613800,0,4407077,1023001,872583,0,13200
L,975000,0,1000000,0,4475000,153220,315117
AMBC,900000,0,4125142,0,1851500,0,41077
DAWN,647000,0,1779160,4086399,388200,0,13200
CPT,721000,0,4033131,0,2154173,0,3000
HSAQ,595000,0,3450300,2507368,347000,0,0
SLAB,563710,0,6321406,0,0,0,9605
EGP,775000,0,4216711,0,1548450,0,354509
PLYA,820000,0,3673650,0,2386200,0,14544
KRG,950000,0,3051634,0,2850000,0,36327
PCRX,941387,720600,1266798,3909786,0,0,39520
MODN,556500,0,6009632,0,306628,0,4911
KLIC,881250,0,5576880,0,381240,0,37847
FSS,941719,0,2699979,900009,2081889,36920,209163
FDS,746154,0,2500166,2500089,1102406,0,13200
ASGN,1050000,0,5344802,0,441000,0,22456
WING,740000,0,4425150,0,1650000,0,30565
LCID,584615,6000000,0,0,233377,0,19223
ANDE,1000000,0,3468141,5151,1720000,0,633200
SLVM,1110000,0,4179676,0,972100,123744,440068
BLMN,1000000,0,4900025,0,910500,0,14478
ICUI,775000,0,5554475,0,465000,0,16500
WKC,1000000,0,4500008,0,1250000,9428,42807
BRBR,700000,0,5105600,0,875000,0,121304
ST,991427,0,5768757,0,0,0,40636
AXS,948296,0,3886286,0,1789644,0,172408
HRL,1032692,0,2000038,1999841,1347400,271507,134501
PZZA,1019231,0,4999865,0,744000,0,17030
TERN,374398,0,0,5407180,301150,0,682680
RKT,478373,234521,5999996,0,0,0,51297
TMDX,633846,0,2467645,2472929,1170000,0,13650
DFIN,815000,0,4711808,0,1196176,0,32294
SPSC,121000,131250,6499877,0,0,0,0
PATK,817308,0,4200020,0,1632600,69223,29400
SITC,900000,0,3550043,0,2250000,0,40607
GXO,827325,0,4221221,0,1525049,0,160067
KMT,1016250,0,4417134,0,1157904,0,137725
FORM,550000,0,5980078,0,187872,0,9899
KAR,773000,0,4783508,0,1131220,0,33627
CUBE,884000,0,2733303,1366668,1480479,0,255234
BYND,500000,1200,2950005,2950000,297000,0,15132
DVA,1407692,0,0,0,4208063,0,1096573
WETF,550000,2561200,3585593,0,0,0,13637
AIR,1000000,0,2737486,912550,1370000,864,688239
BZH,1028846,0,1996601,0,3568124,0,109900
OSUR,721000,0,4873637,0,1103130,0,4000
CRSR,0,0,1763060,4489367,447908,0,0
RDNT,1500000,2000000,1375000,1750000,0,0,75183
MTW,944231,0,3970760,0,1632813,0,150404
SGMS,1300000,0,3899846,0,1483300,0,8750
PAYX,730673,0,3299902,1200009,1429782,0,19814
WGO,1050000,0,4249995,749992,550500,0,77241
BWXT,962500,0,3509655,840005,1112500,0,248430
HCC,829492,0,3753490,0,1762671,0,322142
INFN,729000,0,5137500,0,791163,0,5985
AMN,1060000,0,4772195,0,596250,0,232035
CUZ,750000,0,4602915,0,1265550,0,37956
MRC,856635,0,4914551,0,861445,0,21064
TCBI,1000000,0,4027438,0,1600000,0,20800
ACVA,468750,0,5422200,0,752123,0,4368
LFUS,997691,0,2291379,2304434,900000,0,148002
MFA,800000,625000,4000015,0,1202325,0,13200
FIX,1002000,0,3256375,0,2354700,0,22384
ROIC,900000,0,4096638,0,1575000,0,55080
VRTS,600000,0,3200000,0,2800000,0,16500
CENTA,1080902,0,2299977,614800,0,0,2620159
TALO,857138,0,4608791,0,1102875,0,38062
SAVE,745833,1771875,2912479,0,1134573,0,36644
HSC,1014269,0,3486818,887490,1115696,0,94377
VRNA,819568,0,5324000,0,440705,0,13200
ML,650000,1084082,4848284,0,0,0,13200
LGIH,975000,1418618,4143927,0,0,0,55737
RAPT,605000,0,0,5730375,250000,0,6242
QURE,635089,0,2502900,3064662,342900,0,39368
CTLT,925000,0,3850216,1650019,0,0,158437
ROL,1449000,0,2431015,0,2148142,0,545489
CMPO,618040,0,5500985,0,438780,0,12304
HI,917808,0,5100067,0,416250,0,134755
NRDS,687500,0,5843870,0,0,0,15300
GRMN,1350962,333,5150023,0,0,0,39348
CNS,600000,880000,4719944,0,0,0,337094
COHU,708846,0,5051219,0,752378,0,24164
FUN,950000,0,4999979,0,565725,0,19812
ONB,1144423,0,3011947,0,2145793,6692,214656
SNEX,600000,0,1692960,0,4180754,0,44292
PCH,900000,0,3112639,0,1105200,1267426,123688
CFR,1200000,0,3400043,0,1458000,0,429811
RYI,1150000,0,4001800,0,1250480,0,73968
OM,723077,0,5254876,0,489876,0,7117
ACA,980500,0,4189222,0,1283475,153,20770
MATW,1037838,0,4152750,0,1170486,76768,36122
CNDT,835000,0,4999996,0,638775,0,0
GATX,858333,0,1809082,1794322,919015,1081846,9900
CDMO,642308,0,5112128,0,662000,0,45348
SGRY,1050000,0,4400000,0,1000000,0,7600
CVNA,912238,0,2071711,3470000,0,0,712
MIRM,660000,0,1761000,3383920,633600,0,13200
OUT,1400000,0,3999989,0,1046500,0,1260
CRS,970898,0,3785070,0,1522136,0,154693
BPMC,782250,0,2953924,1962968,719670,0,13200
CNX,800000,960000,3000010,0,0,1621967,45906
FR,836000,0,3714199,0,1832500,0,31037
KN,747596,0,5097770,0,540000,2800,23408
RPM,995000,0,4010379,0,1120000,46539,237957
BRP,400000,0,3828490,0,2169600,0,0
FLO,954289,0,4452212,0,674469,53133,258937
IART,875467,0,4125076,1375013,0,0,13200
CHH,1150000,0,1500107,500039,2944000,6800,277256
AIT,950000,0,2730568,759178,1654026,0,267733
IRBT,850000,0,5499992,0,0,0,9900
SNBR,1200000,0,3444144,1165494,420000,0,119553
COLB,1150000,0,3042229,0,1269600,218435,663986
MGTX,648000,2204204,2150000,1298250,0,0,36378
DSGN,360600,181552,0,5613680,148748,0,13200
ARCB,900000,0,1227732,0,4111225,9464,66687
CVEO,750000,1256251,2811698,0,1474995,0,18918
WAFD,975000,0,1566874,0,0,0,3766800
FHI,787500,0,1918898,0,3010000,0,590642
WLFC,697375,1766832,3619752,0,0,0,220324
CR,800000,350000,1000072,3082546,984800,0,82335
ALLK,805460,0,2171340,2623519,684641,0,14466
HEES,907692,1684487,3599924,0,0,0,103733
EAT,900000,150000,3809892,0,992574,0,442581
VAL,950000,0,4314482,0,1005100,0,18390
RYN,900000,0,3786040,0,1431000,0,168676
LAMR,700000,0,4482280,0,430000,0,669697
VMI,1124834,0,2671481,0,1569087,0,914905
BEAM,685000,0,1722375,3423499,431550,0,17675
HTA,850000,0,4380592,0,1049034,0,0
FARO,253846,300000,5655598,0,60720,0,8727
D,1225000,0,2084904,0,1528800,1250219,189912
ZNTE,199563,0,6063894,0,12617,0,2625
SAVA,1188000,0,0,5065650,0,0,9388
RAMP,690000,0,5133361,0,414414,0,18300
ORGO,908669,762344,2249999,2245159,0,0,78500
GO,922466,0,3996047,0,1283368,0,37890
ARCH,1000000,0,4198223,0,1021715,0,19800
SAGE,798761,0,3004440,1990425,428336,0,15529
EEX,650000,0,0,5524923,41943,0,7950
KRYS,733333,487500,2047750,2852511,0,0,102800
LGND,650007,0,3378456,1788095,390000,0,9960
EVCM,650000,0,4874997,0,687375,0,0
KALU,983750,0,4012956,0,985550,0,225604
UNFI,1050000,0,5135192,0,0,0,16250
MTN,1050769,0,2384820,2384996,331250,0,43467
NABL,485000,0,5058475,0,635350,0,13200
NPO,830769,0,2744733,1003240,1134000,0,479267
VRT,865385,0,0,3300000,2000000,0,17789
APAM,500000,0,1506868,0,4000000,0,176205
RRC,688462,0,3925016,0,1467000,0,101466
DX,850000,0,2931062,0,2269800,0,126377
JBT,921901,0,3600014,0,1503810,0,150374
SXT,1080000,0,4300041,0,91277,504000,198834
OFC,775000,0,3951507,0,1428635,0,13200
ITRI,875000,0,3746266,0,1531250,0,14850
MATX,904234,0,3237822,0,1716915,196171,110673
TBLA,590000,0,4514693,0,968700,0,91714
BECN,929808,0,2743130,914382,1537956,0,29670
CIM,850000,0,2670453,0,2606625,0,19800
SLCA,900000,0,4084545,0,1102824,0,55320
BYON,743750,0,3599999,0,0,0,1797535
VLTO,976218,0,3233674,3252208,1713413,0,217330
HMN,1033333,0,2693600,1154400,1109490,0,144707
UIS,991000,0,2249583,0,2869362,0,23463
IMXI,1000000,0,4000000,0,1125000,0,2308
AKR,850000,0,3359692,0,1903182,0,10188
HRI,966635,0,3600207,0,1304576,0,246457
SELB,618228,1323000,319564,1123658,343200,0,2384233
TPL,850000,0,3771255,0,1412785,0,74677
POOL,800000,0,3500355,0,1728760,0,74373
SKT,850000,0,3500027,0,1477318,0,272857
TWO,875001,0,2313442,0,2684375,0,225860
PRCT,612575,0,2435509,2527999,512730,0,0
PDCO,470193,0,4235629,1087498,0,0,281320
AVY,844231,0,2071369,3000025,0,0,155337
PRGO,604615,0,4300008,0,1080000,0,83346
REX,275000,0,2617799,0,3170248,0,200
GDEN,1050000,0,3641842,0,1092152,0,275193
PLL,750000,0,3538121,741571,978000,0,51188
ALVR,623432,0,2211125,3209186,0,0,13200
AMR,840385,70032,3172948,0,1852461,80115,37420
STRL,1000000,0,3000019,0,2007500,0,44061
UPH,446000,406957,1062100,0,3130227,0,40467
AAOI,596747,0,4816714,0,594334,0,41675
ARKO,1146731,0,2673511,1336754,885128,0,6445
RENT,650000,0,5377303,0,0,0,20249
FOXF,974038,0,5000030,0,0,0,59635
KAI,898900,0,3277818,0,1835700,0,19380
MOG.A,888334,0,1772181,0,702103,2269748,383419
RHP,850165,230400,2857285,0,2019600,0,57755
DCPH,738200,0,1935000,2837100,487212,0,13200
HZO,975000,0,3802488,0,1218750,0,9900
IDYA,598000,0,0,5083440,299000,0,15000
LZB,941667,0,2735585,800001,1356876,0,149858
SIGI,1000000,0,2764181,0,2000000,130795,88850
MTSI,725000,0,5142630,0,101500,0,10260
DYN,643550,0,3904582,965225,460138,0,996
MTRN,881731,0,3350228,973351,650793,0,115761
SLDP,423692,300000,1971418,2291500,406204,0,572549
BKU,1050000,0,3018764,0,1724625,0,169062
KOP,915680,0,3572221,0,1265592,0,207060
NNBR,497789,214010,4521613,0,620990,0,105655
DXLG,866346,0,2765938,0,2167112,0,159627
LPRO,624795,0,4932070,0,390500,0,9900
SEIC,750000,0,1860000,1556000,1750000,0,18430
IBP,829231,0,3837502,0,1225900,0,39541
AVIR,683000,0,2409452,2474763,358575,0,0
RGNX,676790,0,1218254,3698138,304555,0,18975
TGI,975000,0,3510001,0,1394250,0,35296
MYPS,740385,400000,4770000,0,0,0,2600
MX,502819,1011,3885901,0,0,35335,1486477
GLRE,800000,0,1600000,0,762800,0,2748046
SAM,860500,1032605,2000113,2000007,0,0,14117
CHRS,982873,0,777975,3297706,829920,0,9450
REVG,669290,325000,3509597,0,1377158,0,13200
BCPC,1155000,0,2601958,867121,1219937,0,45691
ORI,926667,0,1933420,652000,2278211,0,37019
OSW,910252,0,2606729,0,2275631,0,92193
BTU,1000000,367500,1999968,0,2450000,0,62424
NOVA,620833,0,489645,4000000,734468,0,20094
PLSE,433333,399973,0,5029724,0,0,1420
WTI,905505,0,3598400,0,1184828,0,174828
GCMG,4277200,0,0,0,0,0,1582211
BRKR,926096,0,2555868,770552,1572146,0,34099
AGEN,710499,625000,312500,4208320,0,0,0
ADTN,913699,0,4918164,0,0,0,15798
NUS,991918,0,4046074,0,641300,0,159287
BHE,973077,0,4000000,0,765690,0,98672
GPRE,800000,0,4200029,0,725000,0,111420
MLKN,1100000,0,2203328,2091000,0,0,441239
ACEL,880289,0,3823493,0,1103000,0,27716
SUP,850000,1500000,2769356,0,691688,0,21463
BRSP,800000,0,2986959,0,2030000,0,15419
OTTR,806000,141050,2605539,0,1403783,151969,715385
GDYN,800000,0,3989003,0,1022000,0,11317
THRY,1060900,0,3000000,0,1696910,0,53317
DVAX,760000,0,2281250,2043300,712500,0,13686
PRFT,553542,0,5237064,0,0,0,18866
ROCG,455833,225000,2000000,3125470,0,0,1236
USLM,530000,1150000,2879375,684525,530000,0,30242
LUNG,580000,0,1991780,2769581,453270,0,666
SNDR,941667,0,4703533,0,0,0,149056
NJR,938250,0,2768004,0,1383393,627726,75307
CXW,1060751,0,2799997,0,1788378,0,142911
HOMB,707351,0,3431790,0,750000,84787,814931
PUMP,800000,0,4210746,0,735800,0,41414
JELD,907212,0,1700000,0,2220000,0,953073
TSE,1050000,0,2804973,1322998,449768,13387,138719
AAN,850000,0,3121800,647823,1146300,0,13442
M,975000,0,3871353,0,781091,100572,49943
TBBK,750000,3000000,1000000,1000000,0,0,26593
TREX,747000,0,2783750,491250,1718100,0,33679
HNST,711058,833333,3247619,0,717025,0,263535
BPOP,1130000,47083,3081501,0,1466740,0,43120
ITOS,578863,0,295200,4428800,384516,0,80395
WCN,892308,0,2734688,0,2079000,0,49057
MAX,550000,0,5179192,0,0,0,24503
CRNX,614000,0,1210806,3558849,361339,0,3000
SAIA,910000,0,3382889,0,1277276,0,160694
TRN,930000,0,4029560,0,655200,14924,99872
PKOH,875000,0,2365500,0,2365000,16623,104852
IPGP,864890,0,4416887,0,166491,0,277284
DBI,1205769,0,4500008,0,0,0,13835
ARRY,850000,0,3599995,0,1253750,0,13200
HLIO,950000,0,4445378,0,285000,0,34900
HURN,919792,430000,2642725,0,1676563,0,37323
SEB,1102400,2700000,0,0,0,1625253,251146
PNFP,1217000,0,3504450,0,829994,0,126121
GPRO,850000,0,4239108,0,586500,0,535
ICHR,640000,0,4721589,0,294715,0,11250
ICFI,1008800,0,3422952,0,1214130,0,15576
SCSC,875000,0,3229036,0,1246875,0,306573
INN,700000,0,3905300,0,1033711,0,13200
NYMT,875000,0,3112565,0,1093750,0,565339
ONTO,692718,0,4327136,0,624741,0,1433
OXM,934615,0,4247460,0,0,0,460450
SAMG,875000,1500000,1500000,0,0,0,1766698
MGNI,625000,0,3541462,943752,519625,0,10035
GBX,900000,0,2819190,0,1735470,0,184821
BKH,893333,0,2729666,0,1372785,35493,607725
ELF,475000,0,4199619,0,950000,0,9500
HAYW,923135,150000,2220021,1480003,0,657510,201337
AGM,800000,0,3181181,0,1498155,0,151897
GSHD,2100000,0,0,3514000,0,0,16110
LBRT,638231,300000,3590569,0,1078500,0,20800
AGS,728269,0,4081597,0,793800,0,16979
LEU,750000,0,249923,0,810000,0,3796567
ORLY,1467308,1475000,0,0,2614233,0,46811
IVT,850000,0,3158279,0,1581000,0,11712
AURC,750000,4850000,0,0,0,0,810
ETNB,611100,0,1102500,3421290,436900,0,15871
PBH,1002322,0,3600031,0,934000,0,46756
DNOW,947116,0,3331165,0,1289099,0,13038
CECE,515316,0,3981255,0,1050652,0,30753
SBOW,613750,1132800,2827500,0,973400,0,24271
HWC,1165685,0,2428302,0,1291253,150460,529568
RILY,700000,0,1889256,0,0,0,2974063
SHLS,332292,250000,4400045,0,560743,0,16950
XBIT,1065440,4480000,0,0,0,0,11041
AZTA,750000,0,4500037,0,289575,0,14850
PEGA,495000,0,0,4550006,495000,0,9900
SKYW,546875,0,2300000,0,2233375,0,467213
UDMY,560833,0,4445000,0,530511,0,6600
BCYC,710292,18649,1702000,2490895,540951,0,77613
AXGN,700000,0,3159140,886050,763700,0,25791
ROCK,845481,0,2974951,0,1190340,494408,23439
TIPT,1000000,0,0,0,4382697,0,142867
GPOR,706133,0,3236509,0,1554300,0,25267
TNC,873750,0,2046033,682032,1760000,0,158329
TINV,1000000,2146000,2350073,0,0,0,22500
TAST,433333,0,4042106,0,758333,0,274893
SUN,649500,0,3759700,0,1015000,0,61107
ALT,620154,0,1379448,3116499,334950,0,31038
ENLC,720192,0,3500766,0,918245,0,325930
MGY,722615,0,3692755,0,1015600,0,26400
BKD,990000,0,3193334,0,1258419,0,9254
WERN,917308,0,3600000,0,812520,0,116924
QTRX,615385,0,1647658,2352331,810000,0,9900
SITE,918269,0,2399916,1218761,870060,0,23342
CTRE,800000,0,2788376,0,1832030,0,9900
GTLS,1000000,0,2634196,992696,732000,0,65200
XPER,625000,0,4205746,0,575625,0,12256
STRA,961175,0,3250000,0,1196663,0,9900
VLY,1000000,0,2975661,0,921875,93345,425582
CVCO,950000,0,2300175,0,2157238,0,2802
ERAS,622800,0,0,4419750,354996,0,9900
SIX,1550000,2325000,1500000,0,0,0,25309
HE,958333,0,2253154,0,0,2174763,0
LXP,825000,0,3474977,0,1011192,52345,16500
AMK,513942,43312,1547572,2324921,925000,0,20160
LIDR,422349,0,4605800,0,329538,0,14574
GOEV,500000,0,4867470,0,0,0,0
FHB,1032954,638366,2299977,0,0,1142308,253250
DENN,905962,0,3769067,0,615148,0,72911
VAC,945106,0,3200052,799988,377625,0,38181
WKSP,374239,0,0,4978572,0,0,0
OLLI,934615,0,1600016,1599994,1193906,0,19014
TXRH,1190000,0,2599856,0,1527267,0,30404
JACK,901539,0,2745302,0,1598475,0,101171
FCPT,670000,837500,3580283,0,0,0,254283
NEOG,671100,637500,1200000,2800000,0,0,16574
AWR,924519,300000,1742567,0,863950,1463711,29524
VVV,1058870,0,2210622,731245,1100696,0,215376
BLFS,198890,62740,4588883,0,0,0,466285
SSP,1275000,0,2487690,0,1360425,26226,165443
SNV,1015385,0,3121483,0,1128346,0,45749
FLGT,1000000,0,3000000,0,0,0,1309167
INZY,375000,7500,573000,4134601,200000,0,9375
KNSA,864218,0,739381,2984605,695663,0,13200
TROX,942000,0,3479551,0,570000,0,302701
ECVT,700000,0,4105028,0,45500,0,441970
RM,660000,0,2999987,0,1451000,0,180830
NGVT,995000,0,4000032,0,169150,0,126880
CLW,940385,0,2872321,0,1263700,0,211690
AZEK,825000,0,2520018,840006,1026768,0,75758
SSRM,1075000,0,3225000,0,959206,0,26400
AGL,750000,0,3375043,1125008,0,0,16985
RANI,450000,0,1923040,2893853,0,0,0
CLDT,650000,0,3131381,0,1118530,0,355017
KURA,645900,0,0,4034744,479581,0,91182
ORCL,950000,0,0,0,4165213,0,135467
KRP,620000,0,3105828,0,775000,0,739161
ACIW,2062500,325000,2308220,0,529870,0,6088
AVA,878769,0,2728537,0,219692,1384964,18000
DO,712846,0,3823480,0,657656,0,35656
KNSL,900000,2500000,1799975,0,0,0,23102
SR,952750,0,2943525,0,746718,305762,264902
CBZ,950000,0,2745345,0,1277370,0,240814
INDB,903846,1620000,2008786,0,547826,0,132767
MKC,953558,0,1200028,1200010,1720590,0,138988
SEER,596459,0,1845180,2170350,423653,0,161689
SONO,550000,0,4568856,0,71858,0,0
MLAB,732692,0,3205716,962521,282750,0,6692
RLI,650000,0,0,626025,3811008,0,98419
LLAP,995000,0,2293340,0,1791000,0,103031
SSB,1043250,0,2746330,0,1325331,0,51748
FUBO,730000,0,1333596,2125478,943160,0,31304
WEAV,468768,0,3786643,0,893000,0,13242
NG,835908,0,1763378,1511824,982839,0,54899
