OPEID,name,city,state,region,median_debt,default_rate,highest_degree,ownership,locale,hbcu,admit_rate,SAT_avg,online_only,enrollment,net_price,avg_cost,net_tuition,ed_spending_per_student,avg_faculty_salary,pct_PELL,pct_fed_loan,grad_rate,pct_firstgen,med_fam_income,med_alum_earnings
238200,St Olaf College,Northfield,MN,Midwest,21.5,0.8,Bachelors,Private nonprofit,Town,No,50.81,1309.0,No,2928,24.052,62.88,19.724,18.147,8.799,19.5,49.12,84.82,12.8735632,90.436,60.242
238300,Crown College,Saint Bonifacius,MN,Midwest,17.75,4.7,Graduate,Private nonprofit,Rural,No,46.89,1063.0,No,729,25.796,41.227,11.604,3.032,5.279,28.19,44.48,60.45,26.5625,50.787,39.89
234300,The College of Saint Scholastica,Duluth,MN,Midwest,17.188,2.6,Graduate,Private nonprofit,Small City,No,73.31,1205.0,No,2225,22.545,50.923,14.744,9.312,7.043,28.24,61.92,68.63,28.496732,58.385,58.748
234500,University of St Thomas,Saint Paul,MN,Midwest,19.5,1.4,Graduate,Private nonprofit,Large City,No,87.4,1249.0,No,6276,31.066,57.785,19.846,13.684,10.908,18.42,46.97,80.23,13.7745975,94.9285,67.398
1260603,Empire Beauty School-Bloomington,Bloomington,MN,Midwest,7.667,13.3,Certificate,Prviate for-profit,Small City,No,,,No,129,16.152,20.827,9.962,9.075,,54.3,56.56,73.08,49.0608565,14.725,26.171
234200,St Catherine University,Saint Paul,MN,Midwest,19.0,3.1,Graduate,Private nonprofit,Large City,No,76.15,1122.0,No,2914,17.814,50.794,19.145,11.386,7.496,38.31,67.21,63.6,28.8077188,41.238,52.603
869400,Rasmussen University-Minnesota,St. Cloud,MN,Midwest,12.139,7.8,Graduate,Prviate for-profit,Small City,No,,,No,3745,19.075,22.472,19.046,4.846,7.703,51.78,78.66,35.65,47.5742783,25.1235,35.667
553300,Saint Paul College,Saint Paul,MN,Midwest,9.0,12.1,Associates,Public,Large City,No,,,No,4324,11.507,16.897,2.635,6.577,8.133,43.95,20.52,31.05,40.2185407,19.971,37.878
237500,Southwest Minnesota State University,Marshall,MN,Midwest,14.5,5.9,Graduate,Public,Town,No,80.6,1048.0,No,1945,13.872,20.481,4.219,6.339,9.563,10.76,16.14,48.07,26.8946396,51.5715,43.8
235000,Vermilion Community College,Ely,MN,Midwest,7.855,14.7,Associates,Public,Town,No,,,No,358,14.049,17.922,3.059,5.964,7.772,32.65,43.96,32.37,31.5068493,42.9755,43.965
